id,code,name,flag
165,SH,"Saint Helena, Ascension, And Tristan Da Cunha",https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SH-flag.gif
166,SC,Saint Kitts and Nevis,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SC-flag.gif
167,ST,Saint Lucia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/ST-flag.gif
168,SB,Saint Pierre and Miquelon,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SB-flag.gif
169,VC,Saint Vincent and the Grenadines,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/VC-flag.gif
170,WS,Samoa,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/WS-flag.gif
171,TP,Sao Tome and Principe,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TP-flag.gif
172,SA,Saudi Arabia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SA-flag.gif
173,SG,Senegal,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SG-flag.gif
174,RI,Serbia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/RI-flag.gif
175,SE,Seychelles,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SE-flag.gif
176,SL,Sierra Leone,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SL-flag.gif
177,SN,Singapore,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SN-flag.gif
178,LO,Slovakia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/LO-flag.gif
179,SI,Slovenia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SI-flag.gif
180,BP,Solomon Islands,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BP-flag.gif
181,SO,Somalia,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SO-flag.gif
182,SF,South Africa,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SF-flag.gif
183,KS,South Korea,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/KS-flag.gif
184,OD,South Sudan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/OD-flag.gif
185,SP,Spain,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SP-flag.gif
186,CE,Sri Lanka,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/CE-flag.gif
187,SU,Sudan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SU-flag.gif
188,NS,Suriname,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/NS-flag.gif
189,SW,Sweden,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SW-flag.gif
190,SZ,Switzerland,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SZ-flag.gif
191,SY,Syria,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/SY-flag.gif
192,TW,Taiwan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TW-flag.gif
193,TI,Tajikistan,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TI-flag.gif
194,TZ,Tanzania,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TZ-flag.gif
195,TH,Thailand,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TH-flag.gif
196,BF,The Bahamas,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/BF-flag.gif
197,TO,Togo,https://www.cia.gov/library/publications/resources/the-world-factbook/attachments/flags/TO-flag.gif
